Year,Constituency_No,Constituency_Name,Turnout_Percentage,Vote_Share_Percentage,Electors,Position,Sex,Party,Votes,Candidate,Margin_Percentage
2018,17,SAUNDATTI YELLAMMA,81.09,40.65,189556,1,Male,BJP,62480,ANAND @ VISHWANATH CHANDRASHEKHAR MAMANI,4.09
2018,18,RAMDURG,76.57,45.17,197637,1,Male,BJP,68349,MAHADEVAPPA SHIVALINGAPPA YADAWAD,1.9
2018,19,MUDHOL,77.12,51.63,191946,1,Male,BJP,76431,GOVIND MAKTHAPPA KARAJOL,10.46
2018,20,TERDAL,79.97,50.4,216384,1,Male,BJP,87213,SIDDU SAVADI,12.07
2018,21,JAMKHANDI,77.21,32.06,198957,1,Male,INC,49245,SIDDU BHIMAPPA NYAMGOUD,1.82
2018,22,BILGI,80.87,49.12,214327,1,Male,BJP,85135,MURUGESH RUDRAPPA NIRANI,2.78
2018,23,BADAMI,76.3,41.24,214834,1,Male,INC,67599,SIDDARAMAIAH,1.03
2018,24,BAGALKOT,71.46,53.03,226012,1,Male,BJP,85653,VEERABHADRAYYA (VEERANNA) CHARANTIMATH,9.87
2018,25,HUNGUND,73.93,41.53,211724,1,Male,BJP,65012,DODDANAGOUDA G PATIL,3.34
2018,26,MUDDEBIHAL,69.03,45.76,201058,1,Male,BJP,63512,AMEENAPPA GOUDA S PATIL (NADAHALLI),6.22
2018,27,DEVAR HIPPARGI,67.11,34.69,207225,1,Male,BJP,48245,SOMANAGOUDA B PATIL (SASANUR),2.41
2018,28,BASAVANA BAGEVADI,74.99,39.79,196571,1,Male,INC,58647,SHIVANAND PATIL,2.16
2018,29,BABALESHWAR,82.08,57.29,209117,1,Male,INC,98339,MALLANAGOUD BASANAGOUD PATIL,17.31
2018,30,BIJAPUR CITY,62.77,50.3,241682,1,Male,BJP,76308,BASANAGOUD .R. PATIL (YATNAL),4.23
2018,31,NAGTHAN,68.36,34,256881,1,Male,JD(S),59709,DEVANAND FULASING CHAVAN,3.19
2018,32,INDI,73.49,29.98,228742,1,Male,INC,50401,YASHVANTHARAYGOUDA VITTALAGOUDA PATIL,5.91
2018,33,SINDGI,71.92,44.15,223160,1,Male,JD(S),70865,MANAGULI MALLAPPA CHANNAVEERAPPA,5.8
2018,34,AFZALPUR,68.45,47.92,218719,1,Male,INC,71735,M Y PATIL,7.08
2018,35,JEVARGI,69.76,42.36,231847,1,Male,INC,68508,AJAY DHARAM SINGH,9.93
2018,36,SHORAPUR,73.39,52.96,268678,1,Male,BJP,104426,NARASIMHANAYAK (RAJUGOUDA),11.44
2018,37,SHAHAPUR,70.96,50.27,220463,1,Male,INC,78642,SHARANABASAPPA GOUDA DARSHANAPUR,19.8
2018,38,YADGIR,62.5,43.08,231116,1,Male,BJP,62227,VENKATREDDY MUDNAL,8.92
2018,39,GURMITKAL,62.89,52.4,241642,1,Male,JD(S),79627,NAGANGOUDA KANDKUR,16.11
2018,40,CHITTAPUR,61.4,49.65,228618,1,Male,INC,69700,PRIYANK KHARGE,3.13
2018,41,SEDAM,74.35,50.87,213263,1,Male,BJP,80668,RAJKUMAR PATIL,4.54
2018,42,CHINCHOLI,69.64,55.57,190976,1,Male,INC,73905,DR. UMESH G JADHAV,14.45
2018,43,GULBARGA RURAL,61.25,40.49,248958,1,Male,BJP,61750,BASAWARAJ MATTIMUD,8.12
2018,44,GULBARGA DAKSHIN,55.75,44.88,258960,1,Male,BJP,64788,DATTATRAYA C PATIL REVOOR APPU GOUDA,3.76
2018,45,GULBARGA UTTAR,53.64,43.29,276959,1,Female,INC,64311,KANEEZ FATIMA,4
2018,46,ALAND,69.94,47.83,229638,1,Male,BJP,76815,GUTTEDAR SUBHASH RUKMAYYA,0.43
2018,47,BASAVAKALYAN,65.74,42.27,221073,1,Male,INC,61425,B. NARAYANRAO,11.89
2018,48,HOMNABAD,68.22,47.04,233577,1,Male,INC,74945,RAJSHEKHAR,19.97
2018,49,BIDAR SOUTH,70.64,39.68,196623,1,Male,JD(S),55107,BANDEPPA,9.17
2018,50,BIDAR,65.53,52.1,214608,1,Male,INC,73270,RAHIM KHAN,7.29
2018,51,BHALKI,75.09,50.68,222472,1,Male,INC,84673,ESHWAR KHANDRE,12.83
2018,52,AURAD,69.14,50.92,213194,1,Male,BJP,75061,PRABHU CHAUHAN,7.19
2018,53,RAICHUR RURAL,70.84,41.23,228241,1,Male,INC,66656,BASANAGOUDA DADDAL,6.16
2018,54,RAICHUR,56.51,45.61,219248,1,Male,BJP,56511,DR. SHIVARAJ PATIL,8.87
2018,55,MANVI,64.56,34.76,238620,1,Male,JD(S),53548,RAJA VENKATAPPA NAYAK,10.27
2018,56,DEVADURGA,70.42,42.58,223472,1,Male,BJP,67003,SHIVANA GOUDA NAYAK,13.37
2018,57,LINGSUGUR,69,33.04,237897,1,Male,INC,54230,D. S. HOOLAGERI,3.01
2018,58,SINDHANUR,71.47,43.75,228704,1,Male,JD(S),71514,VENKATRAO NADAGOUDA,0.98
2018,59,MASKI,69.93,44.17,195504,1,Male,INC,60387,PRATAPGOUDA PATIL,0.16
2018,60,KUSHTAGI,74.2,52.73,223803,1,Male,INC,87567,AMAREGOUDA LINGANAGOUDA PATIL BAYYAPUR,10.86
2018,61,KANAKAGIRI,79.81,52.38,209885,1,Male,BJP,87735,BASAVARAJ DADESUGUR,8.49
2018,62,GANGAWATI,76.41,45.91,192738,1,Male,BJP,67617,PARANNA ESHWARAPPA MUNAVALLI,5.41
